feature,importance
hsa-mir-526b,0.4332589029
hsa-mir-20a,0.3457426629
hsa-mir-338,0.2971992743
hsa-mir-135a-1,0.2714618402
hsa-mir-24-2,0.2573699816
hsa-mir-9-2,0.218063862
hsa-mir-361,0.2038782458
hsa-mir-542,0.1977355738
hsa-mir-381,0.1625972514
hsa-mir-335,0.0599605698
hsa-mir-130a,0.0544205897
hsa-mir-132,0.0348975191
hsa-let-7f-1,0
hsa-mir-1-1,0
hsa-mir-1-2,0
hsa-mir-101-2,0
hsa-mir-103-1-as,0
hsa-mir-103-2,0
hsa-mir-103-2-as,0
hsa-mir-105-1,0
hsa-mir-105-2,0
hsa-mir-106a,0
hsa-mir-106b,0
hsa-mir-107,0
hsa-mir-1178,0
hsa-mir-1179,0
hsa-mir-1180,0
hsa-mir-1181,0
hsa-mir-1182,0
hsa-mir-1183,0
hsa-mir-1184-1,0
hsa-mir-1184-2,0
hsa-mir-1184-3,0
hsa-mir-1185-1,0
hsa-mir-1185-2,0
hsa-mir-1193,0
hsa-mir-1197,0
hsa-mir-1200,0
hsa-mir-1202,0
hsa-mir-1203,0
hsa-mir-1204,0
hsa-mir-1205,0
hsa-mir-1206,0
hsa-mir-1207,0
hsa-mir-1208,0
hsa-mir-1224,0
hsa-mir-1225,0
hsa-mir-1226,0
hsa-mir-1227,0
hsa-mir-1228,0
hsa-mir-1229,0
hsa-mir-1231,0
hsa-mir-1233-1,0
hsa-mir-1233-2,0
hsa-mir-1234,0
hsa-mir-1236,0
hsa-mir-1237,0
hsa-mir-1238,0
hsa-mir-124-1,0
hsa-mir-124-2,0
hsa-mir-124-3,0
hsa-mir-1243,0
hsa-mir-1244-1,0
hsa-mir-1244-2,0
hsa-mir-1244-3,0
hsa-mir-1245,0
hsa-mir-1246,0
hsa-mir-1247,0
hsa-mir-1248,0
hsa-mir-1249,0
hsa-mir-1250,0
hsa-mir-1251,0
hsa-mir-1252,0
hsa-mir-1253,0
hsa-mir-1254,0
hsa-mir-1255a,0
hsa-mir-1255b-1,0
hsa-mir-1255b-2,0
hsa-mir-1256,0
hsa-mir-1257,0
hsa-mir-1258,0
hsa-mir-125b-2,0
hsa-mir-1260,0
hsa-mir-1260b,0
hsa-mir-1261,0
hsa-mir-1262,0
hsa-mir-1263,0
hsa-mir-1264,0
hsa-mir-1265,0
hsa-mir-1266,0
hsa-mir-1267,0
hsa-mir-1268,0
hsa-mir-1269,0
hsa-mir-1270-1,0
hsa-mir-1270-2,0
hsa-mir-1271,0
hsa-mir-1272,0
hsa-mir-1273,0
hsa-mir-1273c,0
hsa-mir-1273d,0
hsa-mir-1274a,0
hsa-mir-1274b,0
hsa-mir-1275,0
hsa-mir-1276,0
hsa-mir-1277,0
hsa-mir-1278,0
hsa-mir-1279,0
hsa-mir-128-1,0
hsa-mir-128-2,0
hsa-mir-1280,0
hsa-mir-1281,0
hsa-mir-1282,0
hsa-mir-1283-1,0
hsa-mir-1283-2,0
hsa-mir-1284,0
hsa-mir-1285-1,0
hsa-mir-1285-2,0
hsa-mir-1286,0
hsa-mir-1287,0
hsa-mir-1288,0
hsa-mir-1289-1,0
hsa-mir-1289-2,0
hsa-mir-129-1,0
hsa-mir-129-2,0
hsa-mir-1290,0
hsa-mir-1291,0
hsa-mir-1292,0
hsa-mir-1293,0
hsa-mir-1294,0
hsa-mir-1295,0
hsa-mir-1296,0
hsa-mir-1297,0
hsa-mir-1298,0
hsa-mir-1299,0
hsa-mir-1301,0
hsa-mir-1302-1,0
hsa-mir-1302-10,0
hsa-mir-1302-11,0
hsa-mir-1302-2,0
hsa-mir-1302-3,0
hsa-mir-1302-4,0
hsa-mir-1302-5,0
hsa-mir-1302-6,0
hsa-mir-1302-7,0
hsa-mir-1302-8,0
hsa-mir-1302-9,0
hsa-mir-1303,0
hsa-mir-1304,0
hsa-mir-1305,0
hsa-mir-1306,0
hsa-mir-130b,0
hsa-mir-1321,0
hsa-mir-1322,0
hsa-mir-1323,0
hsa-mir-1324,0
hsa-mir-133a-1,0
hsa-mir-133a-2,0
hsa-mir-133b,0
hsa-mir-134,0
hsa-mir-135a-2,0
hsa-mir-135b,0
hsa-mir-136,0
hsa-mir-137,0
hsa-mir-138-1,0
hsa-mir-138-2,0
hsa-mir-144,0
hsa-mir-1468,0
hsa-mir-1469,0
hsa-mir-147,0
hsa-mir-1470,0
hsa-mir-1471,0
hsa-mir-147b,0
hsa-mir-148b,0
hsa-mir-149,0
hsa-mir-150,0
hsa-mir-151,0
hsa-mir-152,0
hsa-mir-153-1,0
hsa-mir-153-2,0
hsa-mir-1537,0
hsa-mir-1538,0
hsa-mir-1539,0
hsa-mir-154,0
hsa-mir-155,0
hsa-mir-15a,0
hsa-mir-15b,0
hsa-mir-16-1,0
hsa-mir-16-2,0
hsa-mir-181b-2,0
hsa-mir-181c,0
hsa-mir-181d,0
hsa-mir-1825,0
hsa-mir-1827,0
hsa-mir-184,0
hsa-mir-185,0
hsa-mir-186,0
hsa-mir-187,0
hsa-mir-188,0
hsa-mir-18a,0
hsa-mir-18b,0
hsa-mir-190,0
hsa-mir-1908,0
hsa-mir-1909,0
hsa-mir-190b,0
hsa-mir-191,0
hsa-mir-1910,0
hsa-mir-1911,0
hsa-mir-1912,0
hsa-mir-1913,0
hsa-mir-1914,0
hsa-mir-1915,0
hsa-mir-193a,0
hsa-mir-193b,0
hsa-mir-195,0
hsa-mir-196a-2,0
hsa-mir-197,0
hsa-mir-1972-1,0
hsa-mir-1972-2,0
hsa-mir-1973,0
hsa-mir-1976,0
hsa-mir-198,0
hsa-mir-19a,0
hsa-mir-19b-1,0
hsa-mir-19b-2,0
hsa-mir-204,0
hsa-mir-2052,0
hsa-mir-2053,0
hsa-mir-2054,0
hsa-mir-208a,0
hsa-mir-208b,0
hsa-mir-20b,0
hsa-mir-2110,0
hsa-mir-2113,0
hsa-mir-2114,0
hsa-mir-2115,0
hsa-mir-2116,0
hsa-mir-2117,0
hsa-mir-212,0
hsa-mir-214,0
hsa-mir-215,0
hsa-mir-216a,0
hsa-mir-216b,0
hsa-mir-217,0
hsa-mir-218-1,0
hsa-mir-218-2,0
hsa-mir-219-1,0
hsa-mir-22,0
hsa-mir-222,0
hsa-mir-223,0
hsa-mir-224,0
hsa-mir-2276,0
hsa-mir-2277,0
hsa-mir-2278,0
hsa-mir-2355,0
hsa-mir-23c,0
hsa-mir-24-1,0
hsa-mir-26a-1,0
hsa-mir-27a,0
hsa-mir-2861,0
hsa-mir-2909,0
hsa-mir-296,0
hsa-mir-297,0
hsa-mir-298,0
hsa-mir-299,0
hsa-mir-29b-1,0
hsa-mir-29b-2,0
hsa-mir-300,0
hsa-mir-301a,0
hsa-mir-301b,0
hsa-mir-302c,0
hsa-mir-302d,0
hsa-mir-302e,0
hsa-mir-302f,0
hsa-mir-3065,0
hsa-mir-3074,0
hsa-mir-30b,0
hsa-mir-30c-1,0
hsa-mir-31,0
hsa-mir-3115,0
hsa-mir-3116-1,0
hsa-mir-3116-2,0
hsa-mir-3117,0
hsa-mir-3118-1,0
hsa-mir-3118-2,0
hsa-mir-3118-3,0
hsa-mir-3118-4,0
hsa-mir-3118-5,0
hsa-mir-3118-6,0
hsa-mir-3119-1,0
hsa-mir-3119-2,0
hsa-mir-3120,0
hsa-mir-3121,0
hsa-mir-3122,0
hsa-mir-3123,0
hsa-mir-3124,0
hsa-mir-3125,0
hsa-mir-3126,0
hsa-mir-3127,0
hsa-mir-3128,0
hsa-mir-3129,0
hsa-mir-3130-1,0
hsa-mir-3130-2,0
hsa-mir-3131,0
hsa-mir-3132,0
hsa-mir-3133,0
hsa-mir-3134,0
hsa-mir-3135,0
hsa-mir-3136,0
hsa-mir-3137,0
hsa-mir-3138,0
hsa-mir-3139,0
hsa-mir-3140,0
hsa-mir-3141,0
hsa-mir-3142,0
hsa-mir-3143,0
hsa-mir-3144,0
hsa-mir-3145,0
hsa-mir-3146,0
hsa-mir-3147,0
hsa-mir-3148,0
hsa-mir-3149,0
hsa-mir-3150,0
hsa-mir-3150b,0
hsa-mir-3151,0
hsa-mir-3152,0
hsa-mir-3153,0
hsa-mir-3154,0
hsa-mir-3155,0
hsa-mir-3156-1,0
hsa-mir-3156-2,0
hsa-mir-3156-3,0
hsa-mir-3157,0
hsa-mir-3158-1,0
hsa-mir-3158-2,0
hsa-mir-3159,0
hsa-mir-3160-1,0
hsa-mir-3160-2,0
hsa-mir-3161,0
hsa-mir-3162,0
hsa-mir-3163,0
hsa-mir-3164,0
hsa-mir-3165,0
hsa-mir-3166,0
hsa-mir-3167,0
hsa-mir-3168,0
hsa-mir-3169,0
hsa-mir-3170,0
hsa-mir-3171,0
hsa-mir-3173,0
hsa-mir-3174,0
hsa-mir-3175,0
hsa-mir-3176,0
hsa-mir-3177,0
hsa-mir-3178,0
hsa-mir-3179-1,0
hsa-mir-3179-2,0
hsa-mir-3179-3,0
hsa-mir-3180-1,0
hsa-mir-3180-2,0
hsa-mir-3180-3,0
hsa-mir-3180-4,0
hsa-mir-3180-5,0
hsa-mir-3181,0
hsa-mir-3182,0
hsa-mir-3183,0
hsa-mir-3184,0
hsa-mir-3185,0
hsa-mir-3186,0
hsa-mir-3187,0
hsa-mir-3188,0
hsa-mir-3189,0
hsa-mir-3190,0
hsa-mir-3191,0
hsa-mir-3192,0
hsa-mir-3193,0
hsa-mir-3194,0
hsa-mir-3195,0
hsa-mir-3196,0
hsa-mir-3197,0
hsa-mir-3198,0
hsa-mir-3199-1,0
hsa-mir-3199-2,0
hsa-mir-32,0
hsa-mir-3200,0
hsa-mir-3201,0
hsa-mir-3202-1,0
hsa-mir-3202-2,0
hsa-mir-320b-1,0
hsa-mir-320b-2,0
hsa-mir-320c-1,0
hsa-mir-320c-2,0
hsa-mir-320d-1,0
hsa-mir-320d-2,0
hsa-mir-320e,0
hsa-mir-323,0
hsa-mir-323b,0
hsa-mir-324,0
hsa-mir-325,0
hsa-mir-326,0
hsa-mir-328,0
hsa-mir-329-1,0
hsa-mir-329-2,0
hsa-mir-330,0
hsa-mir-331,0
hsa-mir-337,0
hsa-mir-339,0
hsa-mir-33a,0
hsa-mir-33b,0
hsa-mir-340,0
hsa-mir-345,0
hsa-mir-346,0
hsa-mir-34a,0
hsa-mir-34b,0
hsa-mir-34c,0
hsa-mir-3605,0
hsa-mir-3606,0
hsa-mir-3607,0
hsa-mir-3609,0
hsa-mir-3610,0
hsa-mir-3611,0
hsa-mir-3612,0
hsa-mir-3613,0
hsa-mir-3614,0
hsa-mir-3615,0
hsa-mir-3616,0
hsa-mir-3617,0
hsa-mir-3618,0
hsa-mir-3619,0
hsa-mir-362,0
hsa-mir-3620,0
hsa-mir-3621,0
hsa-mir-3622a,0
hsa-mir-3622b,0
hsa-mir-363,0
hsa-mir-3646,0
hsa-mir-3647,0
hsa-mir-3648,0
hsa-mir-3649,0
hsa-mir-365-1,0
hsa-mir-365-2,0
hsa-mir-3650,0
hsa-mir-3651,0
hsa-mir-3652,0
hsa-mir-3653,0
hsa-mir-3654,0
hsa-mir-3655,0
hsa-mir-3656,0
hsa-mir-3657,0
hsa-mir-3658,0
hsa-mir-3659,0
hsa-mir-3660,0
hsa-mir-3661,0
hsa-mir-3662,0
hsa-mir-3663,0
hsa-mir-3664,0
hsa-mir-3665,0
hsa-mir-3666,0
hsa-mir-3667,0
hsa-mir-3668,0
hsa-mir-3669,0
hsa-mir-367,0
hsa-mir-3670,0
hsa-mir-3671,0
hsa-mir-3672,0
hsa-mir-3673,0
hsa-mir-3674,0
hsa-mir-3675,0
hsa-mir-3676,0
hsa-mir-3677,0
hsa-mir-3678,0
hsa-mir-3679,0
hsa-mir-3680,0
hsa-mir-3681,0
hsa-mir-3682,0
hsa-mir-3683,0
hsa-mir-3684,0
hsa-mir-3685,0
hsa-mir-3686,0
hsa-mir-3687,0
hsa-mir-3688,0
hsa-mir-3689a,0
hsa-mir-3689b,0
hsa-mir-369,0
hsa-mir-3690,0
hsa-mir-3691,0
hsa-mir-3692,0
hsa-mir-370,0
hsa-mir-3713,0
hsa-mir-3714,0
hsa-mir-374b,0
hsa-mir-374c,0
hsa-mir-376a-1,0
hsa-mir-376a-2,0
hsa-mir-376b,0
hsa-mir-376c,0
hsa-mir-377,0
hsa-mir-378b,0
hsa-mir-378c,0
hsa-mir-380,0
hsa-mir-382,0
hsa-mir-383,0
hsa-mir-384,0
hsa-mir-3907,0
hsa-mir-3908,0
hsa-mir-3909,0
hsa-mir-3910-1,0
hsa-mir-3910-2,0
hsa-mir-3911,0
hsa-mir-3912,0
hsa-mir-3913-1,0
hsa-mir-3913-2,0
hsa-mir-3914-1,0
hsa-mir-3914-2,0
hsa-mir-3915,0
hsa-mir-3916,0
hsa-mir-3917,0
hsa-mir-3918,0
hsa-mir-3919,0
hsa-mir-3920,0
hsa-mir-3921,0
hsa-mir-3922,0
hsa-mir-3923,0
hsa-mir-3924,0
hsa-mir-3925,0
hsa-mir-3926-1,0
hsa-mir-3926-2,0
hsa-mir-3927,0
hsa-mir-3928,0
hsa-mir-3929,0
hsa-mir-3934,0
hsa-mir-3935,0
hsa-mir-3936,0
hsa-mir-3937,0
hsa-mir-3938,0
hsa-mir-3939,0
hsa-mir-3940,0
hsa-mir-3941,0
hsa-mir-3942,0
hsa-mir-3943,0
hsa-mir-3944,0
hsa-mir-3945,0
hsa-mir-409,0
hsa-mir-410,0
hsa-mir-411,0
hsa-mir-412,0
hsa-mir-421,0
hsa-mir-422a,0
hsa-mir-423,0
hsa-mir-424,0
hsa-mir-425,0
hsa-mir-4251,0
hsa-mir-4252,0
hsa-mir-4253,0
hsa-mir-4254,0
hsa-mir-4255,0
hsa-mir-4256,0
hsa-mir-4257,0
hsa-mir-4258,0
hsa-mir-4259,0
hsa-mir-4260,0
hsa-mir-4261,0
hsa-mir-4262,0
hsa-mir-4263,0
hsa-mir-4264,0
hsa-mir-4265,0
hsa-mir-4266,0
hsa-mir-4267,0
hsa-mir-4268,0
hsa-mir-4269,0
hsa-mir-4270,0
hsa-mir-4271,0
hsa-mir-4272,0
hsa-mir-4273,0
hsa-mir-4274,0
hsa-mir-4275,0
hsa-mir-4276,0
hsa-mir-4277,0
hsa-mir-4278,0
hsa-mir-4279,0
hsa-mir-4280,0
hsa-mir-4281,0
hsa-mir-4282,0
hsa-mir-4283-1,0
hsa-mir-4283-2,0
hsa-mir-4284,0
hsa-mir-4285,0
hsa-mir-4286,0
hsa-mir-4287,0
hsa-mir-4288,0
hsa-mir-4289,0
hsa-mir-429,0
hsa-mir-4290,0
hsa-mir-4291,0
hsa-mir-4292,0
hsa-mir-4293,0
hsa-mir-4294,0
hsa-mir-4295,0
hsa-mir-4296,0
hsa-mir-4297,0
hsa-mir-4298,0
hsa-mir-4299,0
hsa-mir-4300,0
hsa-mir-4301,0
hsa-mir-4302,0
hsa-mir-4303,0
hsa-mir-4304,0
hsa-mir-4305,0
hsa-mir-4306,0
hsa-mir-4307,0
hsa-mir-4308,0
hsa-mir-4309,0
hsa-mir-431,0
hsa-mir-4310,0
hsa-mir-4311,0
hsa-mir-4312,0
hsa-mir-4313,0
hsa-mir-4314,0
hsa-mir-4315-1,0
hsa-mir-4315-2,0
hsa-mir-4316,0
hsa-mir-4317,0
hsa-mir-4318,0
hsa-mir-4319,0
hsa-mir-432,0
hsa-mir-4320,0
hsa-mir-4321,0
hsa-mir-4322,0
hsa-mir-4323,0
hsa-mir-4324,0
hsa-mir-4325,0
hsa-mir-4326,0
hsa-mir-4327,0
hsa-mir-4328,0
hsa-mir-4329,0
hsa-mir-433,0
hsa-mir-4330,0
hsa-mir-448,0
hsa-mir-449a,0
hsa-mir-449b,0
hsa-mir-449c,0
hsa-mir-450a-1,0
hsa-mir-450a-2,0
hsa-mir-450b,0
hsa-mir-452,0
hsa-mir-454,0
hsa-mir-455,0
hsa-mir-466,0
hsa-mir-484,0
hsa-mir-485,0
hsa-mir-486,0
hsa-mir-487a,0
hsa-mir-487b,0
hsa-mir-488,0
hsa-mir-489,0
hsa-mir-490,0
hsa-mir-491,0
hsa-mir-492,0
hsa-mir-493,0
hsa-mir-494,0
hsa-mir-495,0
hsa-mir-496,0
hsa-mir-497,0
hsa-mir-498,0
hsa-mir-499,0
hsa-mir-500b,0
hsa-mir-501,0
hsa-mir-502,0
hsa-mir-503,0
hsa-mir-504,0
hsa-mir-505,0
hsa-mir-506,0
hsa-mir-507,0
hsa-mir-509-1,0
hsa-mir-509-2,0
hsa-mir-509-3,0
hsa-mir-510,0
hsa-mir-511-1,0
hsa-mir-511-2,0
hsa-mir-512-1,0
hsa-mir-512-2,0
hsa-mir-513a-1,0
hsa-mir-513a-2,0
hsa-mir-513b,0
hsa-mir-513c,0
hsa-mir-514b,0
hsa-mir-515-1,0
hsa-mir-515-2,0
hsa-mir-516a-1,0
hsa-mir-516a-2,0
hsa-mir-516b-1,0
hsa-mir-516b-2,0
hsa-mir-517a,0
hsa-mir-517b,0
hsa-mir-517c,0
hsa-mir-518a-1,0
hsa-mir-518a-2,0
hsa-mir-518b,0
hsa-mir-518c,0
hsa-mir-518d,0
hsa-mir-518e,0
hsa-mir-518f,0
hsa-mir-519a-2,0
hsa-mir-519b,0
hsa-mir-519c,0
hsa-mir-519d,0
hsa-mir-519e,0
hsa-mir-520b,0
hsa-mir-520c,0
hsa-mir-520d,0
hsa-mir-520e,0
hsa-mir-520f,0
hsa-mir-520g,0
hsa-mir-520h,0
hsa-mir-521-1,0
hsa-mir-521-2,0
hsa-mir-522,0
hsa-mir-523,0
hsa-mir-524,0
hsa-mir-525,0
hsa-mir-526a-1,0
hsa-mir-526a-2,0
hsa-mir-527,0
hsa-mir-539,0
hsa-mir-541,0
hsa-mir-543,0
hsa-mir-544,0
hsa-mir-544b,0
hsa-mir-545,0
hsa-mir-548a-1,0
hsa-mir-548a-2,0
hsa-mir-548a-3,0
hsa-mir-548aa-1,0
hsa-mir-548aa-2,0
hsa-mir-548b,0
hsa-mir-548c,0
hsa-mir-548d-1,0
hsa-mir-548d-2,0
hsa-mir-548e,0
hsa-mir-548f-1,0
hsa-mir-548f-2,0
hsa-mir-548f-3,0
hsa-mir-548f-4,0
hsa-mir-548f-5,0
hsa-mir-548g,0
hsa-mir-548h-1,0
hsa-mir-548h-2,0
hsa-mir-548h-3,0
hsa-mir-548h-4,0
hsa-mir-548i-1,0
hsa-mir-548i-2,0
hsa-mir-548i-3,0
hsa-mir-548i-4,0
hsa-mir-548j,0
hsa-mir-548k,0
hsa-mir-548l,0
hsa-mir-548m,0
hsa-mir-548n,0
hsa-mir-548o,0
hsa-mir-548p,0
hsa-mir-548q,0
hsa-mir-548s,0
hsa-mir-548t,0
hsa-mir-548u,0
hsa-mir-548v,0
hsa-mir-548w,0
hsa-mir-548x,0
hsa-mir-548y,0
hsa-mir-548z,0
hsa-mir-549,0
hsa-mir-550a-1,0
hsa-mir-550a-2,0
hsa-mir-550b-1,0
hsa-mir-550b-2,0
hsa-mir-551a,0
hsa-mir-551b,0
hsa-mir-552,0
hsa-mir-553,0
hsa-mir-554,0
hsa-mir-555,0
hsa-mir-556,0
hsa-mir-557,0
hsa-mir-558,0
hsa-mir-559,0
hsa-mir-561,0
hsa-mir-562,0
hsa-mir-563,0
hsa-mir-564,0
hsa-mir-566,0
hsa-mir-567,0
hsa-mir-568,0
hsa-mir-569,0
hsa-mir-570,0
hsa-mir-571,0
hsa-mir-572,0
hsa-mir-573,0
hsa-mir-574,0
hsa-mir-575,0
hsa-mir-576,0
hsa-mir-577,0
hsa-mir-578,0
hsa-mir-579,0
hsa-mir-580,0
hsa-mir-581,0
hsa-mir-582,0
hsa-mir-583,0
hsa-mir-584,0
hsa-mir-585,0
hsa-mir-586,0
hsa-mir-587,0
hsa-mir-588,0
hsa-mir-589,0
hsa-mir-590,0
hsa-mir-591,0
hsa-mir-592,0
hsa-mir-593,0
hsa-mir-595,0
hsa-mir-596,0
hsa-mir-597,0
hsa-mir-598,0
hsa-mir-599,0
hsa-mir-600,0
hsa-mir-601,0
hsa-mir-602,0
hsa-mir-603,0
hsa-mir-604,0
hsa-mir-605,0
hsa-mir-606,0
hsa-mir-607,0
hsa-mir-608,0
hsa-mir-609,0
hsa-mir-610,0
hsa-mir-611,0
hsa-mir-612,0
hsa-mir-613,0
hsa-mir-614,0
hsa-mir-615,0
hsa-mir-616,0
hsa-mir-617,0
hsa-mir-618,0
hsa-mir-619,0
hsa-mir-620,0
hsa-mir-621,0
hsa-mir-622,0
hsa-mir-623,0
hsa-mir-624,0
hsa-mir-625,0
hsa-mir-626,0
hsa-mir-627,0
hsa-mir-628,0
hsa-mir-629,0
hsa-mir-630,0
hsa-mir-631,0
hsa-mir-632,0
hsa-mir-633,0
hsa-mir-634,0
hsa-mir-635,0
hsa-mir-636,0
hsa-mir-637,0
hsa-mir-638,0
hsa-mir-639,0
hsa-mir-640,0
hsa-mir-641,0
hsa-mir-642a,0
hsa-mir-642b,0
hsa-mir-643,0
hsa-mir-644,0
hsa-mir-645,0
hsa-mir-646,0
hsa-mir-647,0
hsa-mir-648,0
hsa-mir-649,0
hsa-mir-650,0
hsa-mir-651,0
hsa-mir-652,0
hsa-mir-653,0
hsa-mir-654,0
hsa-mir-655,0
hsa-mir-656,0
hsa-mir-657,0
hsa-mir-658,0
hsa-mir-659,0
hsa-mir-660,0
hsa-mir-661,0
hsa-mir-662,0
hsa-mir-663,0
hsa-mir-663b,0
hsa-mir-664,0
hsa-mir-665,0
hsa-mir-668,0
hsa-mir-670,0
hsa-mir-671,0
hsa-mir-675,0
hsa-mir-676,0
hsa-mir-7-1,0
hsa-mir-7-2,0
hsa-mir-7-3,0
hsa-mir-708,0
hsa-mir-711,0
hsa-mir-718,0
hsa-mir-720,0
hsa-mir-744,0
hsa-mir-758,0
hsa-mir-759,0
hsa-mir-760,0
hsa-mir-761,0
hsa-mir-762,0
hsa-mir-764,0
hsa-mir-765,0
hsa-mir-766,0
hsa-mir-769,0
hsa-mir-770,0
hsa-mir-802,0
hsa-mir-873,0
hsa-mir-874,0
hsa-mir-875,0
hsa-mir-876,0
hsa-mir-877,0
hsa-mir-885,0
hsa-mir-887,0
hsa-mir-888,0
hsa-mir-889,0
hsa-mir-890,0
hsa-mir-891b,0
hsa-mir-892a,0
hsa-mir-892b,0
hsa-mir-9-3,0
hsa-mir-920,0
hsa-mir-921,0
hsa-mir-922,0
hsa-mir-924,0
hsa-mir-92b,0
hsa-mir-933,0
hsa-mir-934,0
hsa-mir-935,0
hsa-mir-936,0
hsa-mir-937,0
hsa-mir-938,0
hsa-mir-939,0
hsa-mir-940,0
hsa-mir-941-1,0
hsa-mir-941-3,0
hsa-mir-941-4,0
hsa-mir-942,0
hsa-mir-943,0
hsa-mir-944,0
hsa-mir-95,0
hsa-mir-96,0
hsa-mir-98,0
hsa-mir-342,-0.0102765876
hsa-mir-451,-0.020129982
hsa-mir-483,-0.1360932207
hsa-mir-182,-0.4113862391
hsa-mir-514-1,-0.4889840311
hsa-mir-514-3,-0.4907930478
hsa-mir-514-2,-0.4922657859
hsa-mir-139,-0.5444601895
hsa-mir-202,-0.8153024199
hsa-mir-219-2,-0.9659242989
hsa-mir-196a-1,-1.3211744966
hsa-mir-10b,-1.5764351857
hsa-mir-21,-1.7494762864
hsa-mir-183,-2.0882646021
hsa-mir-28,-2.273504544
hsa-mir-30a,-4.5843263751
hsa-mir-508,-4.6199148597
hsa-mir-891a,-5.8047406415
hsa-mir-122,-9.8314164823
hsa-mir-203,-11.5799752051
hsa-let-7b,-17.8749006151
hsa-mir-205,-19.3730869489
